"","T_MAPCODE","deg80","nat","notnat","prcdeg_step","prplost","D3_step","ext_step"
"288","Gs2",0,1242.7488,302.734,0,0.195883124677932,"LC",0
"289","Gs20",0,2257.792,4022.7868,0,0.640512113310321,"LC",0
"290","Gs3",0,1563.8548,178.4108,0,0.102401608572195,"LC",0
"291","Gs4",0,4242.9104,3197.5436,0,0.429751141529805,"LC",0
"292","Gs6",0,3303.362,1924.12,0,0.368077785824992,"LC",0
"293","Gs7",0,2366.8372,2286.7416,0,0.491394193217487,"LC",0
"294","Gs8",0,1664.38,1198.1032,0,0.418553792734923,"LC",0
"295","Gs9",0,2019.8776,4952.2484,0,0.710292441645489,"LC",0
"296","NKb1",0,4637.4612,33.6816,0,0.0072105695419973,"LC",0
"297","NKb2",0,601.3572,6.082,0,0.010012524710292,"LC",0
"298","NKb3",0,40920.3304,333.1364,0,0.0080753552571732,"LC",0
"299","NKb4",0,2670.1444,6.884,0,0.00257150801986262,"LC",0
"300","NKb5",0,8543.3824,95.4592,0,0.011050000037042,"LC",0
"301","NKb6",0,40910.1948,340.468,0,0.00825363707852956,"LC",0
"302","NKl1",4e-04,20086.4292,119.62,0,0.00592000922337635,"LC",0.123485691136777
"303","NKl2",6.2092,8276.562,38.6752,0,0.00464765356176542,"LC",0.678150663807677
"304","NKl4",1.9856,740.7624,0.008,0,1.07706972410859e-05,"LC",1
"305","NKu1",0,16965.3352,184.1892,0,0.0107401928883812,"LC",0
"306","NKu2",0.0932,11708.3264,25.8784,0,0.00220536413852793,"LC",0.042226164701118
"307","NKu3",0,40004.702,2268.9464,0,0.0536728313234492,"LC",0
"308","NKu4",4.3232,48220.664,1609.376,0,0.032294503163231,"LC",0.0383380277647453
"309","SKk1",0,1666.8312,6.924,0,0.00413680566907275,"LC",0
"310","SKk2",0,129.1176,0.7656,0,0.00589452677482538,"LC",0
"311","SKk3",0,1298.7536,22.1316,0,0.0167551275462849,"LC",0
"312","SKk4",0,979.3184,4.2068,0,0.00427726712035442,"LC",0
"313","SKk5",0,829.0612,159.5212,0,0.161363584866573,"LC",0
"314","SKk6",0,57.0744,2.7696,0,0.0462803288550231,"LC",0
"315","SKk7",0,130.8808,54.3164,0,0.293289531375204,"LC",0
"316","SKk8",0,0.628,2.2292,0,0.780204395912082,"LC",0
"317","SKk9",0,140.242,2.5472,0,0.0178388841733128,"LC",0
"318","SKn1",0,7341.7732,240.4844,0,0.0317167277461003,"LC",0
"319","SKn2",0,534.1996,5.1372,0,0.00952503148311037,"LC",0
"320","SKn3",0,2891.1736,216.8212,0,0.0697624075818917,"LC",0
"321","SKn4",0,4581.4516,459.1436,0,0.0910891634384765,"LC",0
"322","SKn5",0,650.5372,2.8068,0,0.00429605230935005,"LC",0
"323","SKn6",0,391.4196,5.3704,0,0.0135346152876837,"LC",0
"324","SKn7",0,907.7124,89.412,0,0.0896698546339855,"LC",0
"325","SKr1",0,1199.6944,0.6692,0,0.000557497744849977,"LC",0
"326","SKr10",0,127.1448,0.4268,0,0.00334557221199703,"LC",0
"327","SKr11",0,128.1284,1.148,0,0.00888019777778466,"LC",0
"328","SKr12",0,611.8832,0.2532,0,0.000413633301336107,"LC",0
"329","SKr13",0,721.824,0.8436,0,0.0011673416657949,"LC",0
"330","SKr14",0,365.2156,0.35,0,0.000957420501272548,"LC",0
"331","SKr15",0,200.2984,41.4816,0,0.171567540739515,"LC",0
