"","lc18","lc22","biome","n","km2"
"522","4","5","Succulent Karoo",1281,0.5124
"523","5","5","Succulent Karoo",4197136,1678.8544
"524","6","5","Succulent Karoo",112,0.0448
"525","7","5","Succulent Karoo",351,0.1404
"526","1","6","Succulent Karoo",62967,25.1868
"527","2","6","Succulent Karoo",47321,18.9284
"528","3","6","Succulent Karoo",1703,0.6812
"529","4","6","Succulent Karoo",866,0.3464
"530","5","6","Succulent Karoo",546,0.2184
"531","6","6","Succulent Karoo",971347,388.5388
"532","7","6","Succulent Karoo",1,4e-04
"533","1","7","Succulent Karoo",2583,1.0332
"534","2","7","Succulent Karoo",1531,0.6124
"535","3","7","Succulent Karoo",11,0.0044
"536","4","7","Succulent Karoo",628,0.2512
"537","5","7","Succulent Karoo",0,0
"538","6","7","Succulent Karoo",0,0
"539","7","7","Succulent Karoo",11095,4.438
