"","nlc2022_7class","T_MAPCODE","PROVINCE","n"
"326","4","AZa3","Eastern Cape",0
"327","5","AZa3","Eastern Cape",0
"328","6","AZa3","Eastern Cape",0
"329","7","AZa3","Eastern Cape",0
"330","1","AZa4","Eastern Cape",466591
"331","2","AZa4","Eastern Cape",37779
"332","3","AZa4","Eastern Cape",4141
"333","4","AZa4","Eastern Cape",24825
"334","5","AZa4","Eastern Cape",72606
"335","6","AZa4","Eastern Cape",584
"336","7","AZa4","Eastern Cape",2077
"337","1","AZa5","Eastern Cape",0
"338","2","AZa5","Eastern Cape",0
"339","3","AZa5","Eastern Cape",0
"340","4","AZa5","Eastern Cape",0
"341","5","AZa5","Eastern Cape",0
"342","6","AZa5","Eastern Cape",0
"343","7","AZa5","Eastern Cape",0
"344","1","AZa6","Eastern Cape",715074
"345","2","AZa6","Eastern Cape",124926
"346","3","AZa6","Eastern Cape",17202
"347","4","AZa6","Eastern Cape",118689
"348","5","AZa6","Eastern Cape",626683
"349","6","AZa6","Eastern Cape",1471
"350","7","AZa6","Eastern Cape",29471
"351","1","AZa7","Eastern Cape",0
"352","2","AZa7","Eastern Cape",0
"353","3","AZa7","Eastern Cape",0
"354","4","AZa7","Eastern Cape",0
"355","5","AZa7","Eastern Cape",0
"356","6","AZa7","Eastern Cape",0
"357","7","AZa7","Eastern Cape",0
"358","1","AZd1","Eastern Cape",0
"359","2","AZd1","Eastern Cape",0
"360","3","AZd1","Eastern Cape",0
"361","4","AZd1","Eastern Cape",0
"362","5","AZd1","Eastern Cape",0
"363","6","AZd1","Eastern Cape",0
"364","7","AZd1","Eastern Cape",0
"365","1","AZd2","Eastern Cape",0
"366","2","AZd2","Eastern Cape",0
"367","3","AZd2","Eastern Cape",0
"368","4","AZd2","Eastern Cape",0
"369","5","AZd2","Eastern Cape",0
"370","6","AZd2","Eastern Cape",0
"371","7","AZd2","Eastern Cape",0
"372","1","AZd3","Eastern Cape",388112
"373","2","AZd3","Eastern Cape",4197
"374","3","AZd3","Eastern Cape",317
"375","4","AZd3","Eastern Cape",3090
"376","5","AZd3","Eastern Cape",0
"377","6","AZd3","Eastern Cape",0
"378","7","AZd3","Eastern Cape",0
"379","1","AZd4","Eastern Cape",8296
"380","2","AZd4","Eastern Cape",225
"381","3","AZd4","Eastern Cape",16
"382","4","AZd4","Eastern Cape",145
