"","nlc2022_7class","T_MAPCODE","coct_cond10","n"
"12613","6","SVcb8","8",0
"12614","7","SVcb8","8",0
"12615","1","SVcb9","8",0
"12616","2","SVcb9","8",0
"12617","3","SVcb9","8",0
"12618","4","SVcb9","8",0
"12619","5","SVcb9","8",0
"12620","6","SVcb9","8",0
"12621","7","SVcb9","8",0
"12622","1","SVk1","8",0
"12623","2","SVk1","8",0
"12624","3","SVk1","8",0
"12625","4","SVk1","8",0
"12626","5","SVk1","8",0
"12627","6","SVk1","8",0
"12628","7","SVk1","8",0
"12629","1","SVk10","8",0
"12630","2","SVk10","8",0
"12631","3","SVk10","8",0
"12632","4","SVk10","8",0
"12633","5","SVk10","8",0
"12634","6","SVk10","8",0
"12635","7","SVk10","8",0
"12636","1","SVk11","8",0
"12637","2","SVk11","8",0
"12638","3","SVk11","8",0
"12639","4","SVk11","8",0
"12640","5","SVk11","8",0
"12641","6","SVk11","8",0
"12642","7","SVk11","8",0
"12643","1","SVk12","8",0
"12644","2","SVk12","8",0
"12645","3","SVk12","8",0
"12646","4","SVk12","8",0
"12647","5","SVk12","8",0
"12648","6","SVk12","8",0
"12649","7","SVk12","8",0
"12650","1","SVk13","8",0
"12651","2","SVk13","8",0
"12652","3","SVk13","8",0
"12653","4","SVk13","8",0
"12654","5","SVk13","8",0
"12655","6","SVk13","8",0
"12656","7","SVk13","8",0
"12657","1","SVk14","8",0
"12658","2","SVk14","8",0
"12659","3","SVk14","8",0
"12660","4","SVk14","8",0
"12661","5","SVk14","8",0
"12662","6","SVk14","8",0
"12663","7","SVk14","8",0
"12664","1","SVk15","8",0
"12665","2","SVk15","8",0
"12666","3","SVk15","8",0
"12667","4","SVk15","8",0
"12668","5","SVk15","8",0
"12669","6","SVk15","8",0
"12670","7","SVk15","8",0
"12671","1","SVk16","8",0
"12672","2","SVk16","8",0
"12673","3","SVk16","8",0
"12674","4","SVk16","8",0
"12675","5","SVk16","8",0
"12676","6","SVk16","8",0
"12677","7","SVk16","8",0
"12678","1","SVk17","8",0
"12679","2","SVk17","8",0
"12680","3","SVk17","8",0
"12681","4","SVk17","8",0
"12682","5","SVk17","8",0
"12683","6","SVk17","8",0
"12684","7","SVk17","8",0
"12685","1","SVk18","8",0
"12686","2","SVk18","8",0
"12687","3","SVk18","8",0
"12688","4","SVk18","8",0
"12689","5","SVk18","8",0
"12690","6","SVk18","8",0
"12691","7","SVk18","8",0
"12692","1","SVk2","8",0
"12693","2","SVk2","8",0
"12694","3","SVk2","8",0
"12695","4","SVk2","8",0
"12696","5","SVk2","8",0
"12697","6","SVk2","8",0
"12698","7","SVk2","8",0
"12699","1","SVk3","8",0
"12700","2","SVk3","8",0
"12701","3","SVk3","8",0
"12702","4","SVk3","8",0
"12703","5","SVk3","8",0
"12704","6","SVk3","8",0
"12705","7","SVk3","8",0
"12706","1","SVk4","8",0
