"","nlc2022_7class","T_MAPCODE","step_deg2","n"
"866","5","FFl1","0",0
"867","6","FFl1","0",0
"868","7","FFl1","0",0
"869","1","FFl2","0",0
"870","2","FFl2","0",0
"871","3","FFl2","0",0
"872","4","FFl2","0",0
"873","5","FFl2","0",0
"874","6","FFl2","0",0
"875","7","FFl2","0",0
"876","1","FFl3","0",1376059
"877","2","FFl3","0",84810
"878","3","FFl3","0",5
"879","4","FFl3","0",5792
"880","5","FFl3","0",321173
"881","6","FFl3","0",340
"882","7","FFl3","0",1405
"883","1","FFq1","0",0
"884","2","FFq1","0",0
"885","3","FFq1","0",0
"886","4","FFq1","0",0
"887","5","FFq1","0",0
"888","6","FFq1","0",0
"889","7","FFq1","0",0
"890","1","FFq2","0",0
"891","2","FFq2","0",0
"892","3","FFq2","0",0
"893","4","FFq2","0",0
"894","5","FFq2","0",0
"895","6","FFq2","0",0
"896","7","FFq2","0",0
"897","1","FFq3","0",526808
"898","2","FFq3","0",537
"899","3","FFq3","0",142
"900","4","FFq3","0",328
"901","5","FFq3","0",328
"902","6","FFq3","0",8
"903","7","FFq3","0",6
"904","1","FFq4","0",0
"905","2","FFq4","0",0
"906","3","FFq4","0",0
"907","4","FFq4","0",0
"908","5","FFq4","0",0
"909","6","FFq4","0",0
"910","7","FFq4","0",0
"911","1","FFq5","0",965001
"912","2","FFq5","0",925
"913","3","FFq5","0",76
"914","4","FFq5","0",216
"915","5","FFq5","0",33
"916","6","FFq5","0",0
"917","7","FFq5","0",0
"918","1","FFq6","0",1666219
"919","2","FFq6","0",17386
"920","3","FFq6","0",233
"921","4","FFq6","0",2146
"922","5","FFq6","0",9369
"923","6","FFq6","0",158
"924","7","FFq6","0",7177
"925","1","FFs1","0",0
"926","2","FFs1","0",0
"927","3","FFs1","0",0
"928","4","FFs1","0",0
"929","5","FFs1","0",0
"930","6","FFs1","0",0
"931","7","FFs1","0",0
"932","1","FFs10","0",0
"933","2","FFs10","0",0
"934","3","FFs10","0",0
"935","4","FFs10","0",0
"936","5","FFs10","0",0
"937","6","FFs10","0",0
"938","7","FFs10","0",0
"939","1","FFs11","0",0
"940","2","FFs11","0",0
"941","3","FFs11","0",0
"942","4","FFs11","0",0
"943","5","FFs11","0",0
"944","6","FFs11","0",0
"945","7","FFs11","0",0
"946","1","FFs12","0",0
"947","2","FFs12","0",0
"948","3","FFs12","0",0
"949","4","FFs12","0",0
"950","5","FFs12","0",0
"951","6","FFs12","0",0
"952","7","FFs12","0",0
"953","1","FFs13","0",0
"954","2","FFs13","0",0
"955","3","FFs13","0",0
"956","4","FFs13","0",0
"957","5","FFs13","0",0
"958","6","FFs13","0",0
"959","7","FFs13","0",0
"960","1","FFs14","0",0
"961","2","FFs14","0",0
"962","3","FFs14","0",0
"963","4","FFs14","0",0
"964","5","FFs14","0",0
"965","6","FFs14","0",0
"966","7","FFs14","0",0
"967","1","FFs15","0",686811
"968","2","FFs15","0",68146
"969","3","FFs15","0",893
"970","4","FFs15","0",6906
"971","5","FFs15","0",89967
"972","6","FFs15","0",343
"973","7","FFs15","0",2552
"974","1","FFs16","0",823092
"975","2","FFs16","0",14743
"976","3","FFs16","0",62
"977","4","FFs16","0",353
"978","5","FFs16","0",10457
"979","6","FFs16","0",16
"980","7","FFs16","0",42717
"981","1","FFs17","0",0
"982","2","FFs17","0",0
"983","3","FFs17","0",0
"984","4","FFs17","0",0
"985","5","FFs17","0",0
"986","6","FFs17","0",0
"987","7","FFs17","0",0
"988","1","FFs18","0",1831797
"989","2","FFs18","0",142410
"990","3","FFs18","0",1593
"991","4","FFs18","0",3995
"992","5","FFs18","0",200996
