"","T_MAPCODE","deg80","nat","notnat","prcdeg_lk","D3_lk","ext_lk"
"203","FRs4",0,211.3236,280.428,0,"LC",0
"204","FRs5",0,1199.0472,37.4068,0,"LC",0
"205","FRs6",17.6148,1792.376,285.8528,1,"LC",0.340451358107065
"206","FRs7",310.6664,1003.1544,294.1244,24,"LC",0.872286194828033
"207","FRs8",0,616.4332,433.3724,0,"LC",0
"208","FRs9",0,485.7452,4478.0244,0,"LC",0
"209","FS1",0,235.7652,118.5092,0,"LC",0
"210","FS10",0,305.588,17.2892,0,"LC",0
"211","FS11",0,39.4448,0.152,0,"LC",0
"212","FS12",0,91.2212,27.848,0,"LC",0
"213","FS13",0,35.2692,6.3856,0,"LC",0
"214","FS14",0,85.0144,11.9436,0,"LC",0
"215","FS2",0,78.3992,220.4612,0,"LC",0
"216","FS3",0,580.7604,1062.5928,0,"LC",0
"217","FS4",0,49.5512,11.9968,0,"LC",0
"218","FS5",0,292.9956,51.3368,0,"LC",0
"219","FS6",0,183.3724,215.5592,0,"LC",0
"220","FS7",0,37.5364,9.2584,0,"LC",0
"221","FS9",0,12.4096,15.6008,0,"LC",0
"222","Gd1",0,4203.0248,823.9112,0,"LC",0
"223","Gd10",0,2752.7292,78.068,0,"LC",0
"224","Gd2",0,153.5728,4.7612,0,"LC",0
"225","Gd3",0,2409.2996,556.96,0,"LC",0
"226","Gd4",0,5993.6724,653.3584,0,"LC",0
"227","Gd5",0,1116.3004,121.334,0,"LC",0
"228","Gd6",0,21.5628,0.0676,0,"LC",0
"229","Gd7",0,1345.8784,1.0164,0,"LC",0
"230","Gd8",0,17292.7212,2876.6012,0,"LC",0
"231","Gd9",0,1856.2032,352.1276,0,"LC",0
"232","Gh1",0,8138.7264,231.9288,0,"LC",0
"233","Gh10",0,5815.3764,20150.2328,0,"LC",0
"234","Gh11",0,417.106,506.456,0,"LC",0
"235","Gh12",0,221.212,108.2732,0,"LC",0
"236","Gh13",0,2123.5948,1642.6328,0,"LC",0
"237","Gh14",0,3675.1248,5512.3316,0,"LC",0
"238","Gh15",0,5469.1712,3129.2544,0,"LC",0
"239","Gh2",0,5659.9492,1503.2332,0,"LC",0
"240","Gh3",0,12356.7924,1035.6428,0,"LC",0
"241","Gh4",0,9249.8548,428.0028,0,"LC",0
"242","Gh5",0,2576.92,2372.7276,0,"LC",0
"243","Gh6",0,10487.3024,5525.6544,0,"LC",0
"244","Gh7",0,1286.362,285.6308,0,"LC",0
"245","Gh8",0,66.1596,14.3112,0,"LC",0
"246","Gh9",0,5307.3764,1766.9788,0,"LC",0
"247","Gm1",0,2813.0948,1455.0672,0,"LC",0
"248","Gm10",0,183.3256,909.8424,0,"LC",0
"249","Gm11",0,4210.3144,6298.684,0,"LC",0
"250","Gm12",0,3707.2544,9065.112,0,"LC",0
"251","Gm13",0,2126.204,1800.8572,0,"LC",0
"252","Gm14",0,2950.0932,800.4016,0,"LC",0
"253","Gm15",0,1966.8996,2249.882,0,"LC",0
