"","nlc2022_7class","T_MAPCODE","littlekaroo_deg2","easternlittlekaroo_deg2","n"
"397","5","AZi3","0","0",0
"398","6","AZi3","0","0",0
"399","7","AZi3","0","0",0
"400","1","AZi5","0","0",0
"401","2","AZi5","0","0",0
"402","3","AZi5","0","0",0
"403","4","AZi5","0","0",0
"404","5","AZi5","0","0",0
"405","6","AZi5","0","0",0
"406","7","AZi5","0","0",0
"407","1","AZi6","0","0",0
"408","2","AZi6","0","0",0
"409","3","AZi6","0","0",0
"410","4","AZi6","0","0",0
"411","5","AZi6","0","0",0
"412","6","AZi6","0","0",0
"413","7","AZi6","0","0",0
"414","1","AZi7","0","0",0
"415","2","AZi7","0","0",0
"416","3","AZi7","0","0",0
"417","4","AZi7","0","0",0
"418","5","AZi7","0","0",0
"419","6","AZi7","0","0",0
"420","7","AZi7","0","0",0
"421","1","AZi8","0","0",0
"422","2","AZi8","0","0",0
"423","3","AZi8","0","0",0
"424","4","AZi8","0","0",0
"425","5","AZi8","0","0",0
"426","6","AZi8","0","0",0
"427","7","AZi8","0","0",0
"428","1","AZs3","0","0",0
"429","2","AZs3","0","0",0
"430","3","AZs3","0","0",0
"431","4","AZs3","0","0",0
"432","5","AZs3","0","0",0
"433","6","AZs3","0","0",0
"434","7","AZs3","0","0",0
"435","1","CB1","0","0",0
"436","2","CB1","0","0",0
"437","3","CB1","0","0",0
"438","4","CB1","0","0",0
"439","5","CB1","0","0",0
"440","6","CB1","0","0",0
"441","7","CB1","0","0",0
"442","1","CB2","0","0",0
"443","2","CB2","0","0",0
"444","3","CB2","0","0",0
"445","4","CB2","0","0",0
"446","5","CB2","0","0",0
"447","6","CB2","0","0",0
"448","7","CB2","0","0",0
"449","1","CB3","0","0",0
"450","2","CB3","0","0",0
"451","3","CB3","0","0",0
"452","4","CB3","0","0",0
"453","5","CB3","0","0",0
"454","6","CB3","0","0",0
"455","7","CB3","0","0",0
"456","1","CB4","0","0",0
"457","2","CB4","0","0",0
"458","3","CB4","0","0",0
"459","4","CB4","0","0",0
"460","5","CB4","0","0",0
"461","6","CB4","0","0",0
